GEOID,NAME,median_income,total_units,owner_occupied,renter_occupied,total_renters,total_population,white_population,black_population,median_home_value,pct_owner_occupied,pct_renter_occupied,pct_cost_burdened,pct_minority
260650001001,Block Group 1; Census Tract 1; Ingham County; Michigan,51711,336,243,93,93,745,448,96,75300,0.7232142857142857,0.2767857142857143,0.07526881720430108,0.3986577181208054
260650001002,Block Group 2; Census Tract 1; Ingham County; Michigan,44250,448,386,62,62,1030,654,271,83800,0.8616071428571429,0.13839285714285715,0.3225806451612903,0.3650485436893204
260650004001,Block Group 1; Census Tract 4; Ingham County; Michigan,65192,378,275,103,103,878,693,64,91200,0.7275132275132276,0.2724867724867725,0.3106796116504854,0.2107061503416856
260650004002,Block Group 2; Census Tract 4; Ingham County; Michigan,67609,312,247,65,65,552,412,96,144900,0.7916666666666666,0.20833333333333334,0.0,0.2536231884057971
260650004003,Block Group 3; Census Tract 4; Ingham County; Michigan,49651,486,374,112,112,1078,931,104,122200,0.7695473251028807,0.23045267489711935,0.36607142857142855,0.13636363636363635
260650006001,Block Group 1; Census Tract 6; Ingham County; Michigan,50479,464,48,416,416,796,455,228,104200,0.10344827586206896,0.896551724137931,0.07692307692307693,0.428391959798995
260650006002,Block Group 2; Census Tract 6; Ingham County; Michigan,31838,611,143,468,468,989,693,194,125300,0.23404255319148937,0.7659574468085106,0.2948717948717949,0.2992922143579373
260650007001,Block Group 1; Census Tract 7; Ingham County; Michigan,45021,381,119,262,262,853,590,149,204400,0.3123359580052493,0.6876640419947506,0.24427480916030533,0.3083235638921453
260650007002,Block Group 2; Census Tract 7; Ingham County; Michigan,30652,572,31,541,541,1732,324,1106,75300,0.05419580419580419,0.9458041958041958,0.2476894639556377,0.812933025404157
260650007003,Block Group 3; Census Tract 7; Ingham County; Michigan,61635,325,77,248,248,607,185,181,97300,0.23692307692307693,0.7630769230769231,0.3064516129032258,0.6952224052718287
260650008001,Block Group 1; Census Tract 8; Ingham County; Michigan,47409,322,169,153,153,1076,655,176,71900,0.5248447204968945,0.4751552795031056,0.0457516339869281,0.3912639405204461
260650008002,Block Group 2; Census Tract 8; Ingham County; Michigan,-666666666,127,97,30,30,202,159,30,57500,0.7637795275590551,0.23622047244094488,0.6333333333333333,0.21287128712871284
260650008003,Block Group 3; Census Tract 8; Ingham County; Michigan,47630,287,29,258,258,405,344,54,-666666666,0.10104529616724739,0.8989547038327527,0.28294573643410853,0.15061728395061724
260650008004,Block Group 4; Census Tract 8; Ingham County; Michigan,62699,358,94,264,264,1066,546,70,114300,0.26256983240223464,0.7374301675977654,0.45075757575757575,0.4878048780487805
260650010001,Block Group 1; Census Tract 10; Ingham County; Michigan,54811,698,544,154,154,1203,992,12,104000,0.7793696275071633,0.22063037249283668,0.045454545454545456,0.1753948462177889
260650010002,Block Group 2; Census Tract 10; Ingham County; Michigan,-666666666,447,136,311,311,917,702,97,131900,0.3042505592841163,0.6957494407158836,0.3762057877813505,0.23446019629225734
260650012001,Block Group 1; Census Tract 12; Ingham County; Michigan,44457,206,137,69,69,607,299,84,66700,0.6650485436893204,0.33495145631067963,0.37681159420289856,0.5074135090609555
260650012002,Block Group 2; Census Tract 12; Ingham County; Michigan,53368,315,112,203,203,630,425,88,88200,0.35555555555555557,0.6444444444444445,0.11822660098522167,0.32539682539682535
260650012003,Block Group 3; Census Tract 12; Ingham County; Michigan,32391,272,120,152,152,919,422,481,125500,0.4411764705882353,0.5588235294117647,0.4407894736842105,0.5408052230685527
260650017031,Block Group 1; Census Tract 17.03; Ingham County; Michigan,87800,632,588,44,44,1248,805,257,184000,0.930379746835443,0.06962025316455696,0.0,0.3549679487179487
260650017032,Block Group 2; Census Tract 17.03; Ingham County; Michigan,42717,1040,539,501,501,1734,1028,491,252500,0.5182692307692308,0.48173076923076924,0.4311377245508982,0.4071510957324106
260650017033,Block Group 3; Census Tract 17.03; Ingham County; Michigan,55160,547,385,162,162,1141,519,354,147800,0.7038391224862889,0.2961608775137112,0.04938271604938271,0.5451358457493427
260650020001,Block Group 1; Census Tract 20; Ingham County; Michigan,41726,317,47,270,270,1036,377,502,-666666666,0.14826498422712933,0.8517350157728707,0.15185185185185185,0.6361003861003861
260650020002,Block Group 2; Census Tract 20; Ingham County; Michigan,40993,313,127,186,186,764,550,155,55600,0.4057507987220447,0.5942492012779552,0.06989247311827956,0.2801047120418848
