GEOID,median_sale_price,price_yoy_change,days_on_market,sale_count_12mo,price_per_sqft,dist_to_downtown
260650053061,144988,0.0788,63,39,128,0.0756
260650049031,358778,0.0794,80,56,199,0.1401
260650050031,457687,0.0664,59,80,200,0.1187
260650049043,373339,0.099,71,37,200,0.159
260650050043,395585,0.0686,59,21,200,0.1447
260650050041,308194,0.058,60,49,182,0.1212
260650063014,282633,0.0673,49,23,174,0.1982
260650049041,294175,0.0351,56,43,178,0.1393
260650044023,-633333332,-0.05,180,2,60,0.0588
260650044022,-633333332,-0.05,180,2,60,0.0582
260650044902,-633333332,-0.05,180,2,60,0.0679
260650063015,374336,0.0641,54,27,200,0.1778
260650053051,331981,0.0675,55,15,190,0.0895
260650053052,290951,0.0492,64,55,176,0.0894
260650053043,117009,0.0551,63,25,119,0.0669
260650053062,195128,0.0576,82,28,145,0.0797
260650063012,198637,0.0605,59,23,146,0.1931
260650050042,300943,0.0837,52,21,180,0.1349
260650053041,102040,0.0741,44,18,114,0.0703
260650049042,275194,0.0404,66,19,171,0.1511
260650056001,298095,0.082,66,23,179,0.1341
260650062003,224396,0.0501,73,23,154,0.3182
260650020001,-695201347,0.0428,54,15,60,0.0207
260650022002,125172,0.0635,72,24,121,0.0328
260650053031,-717222332,0.0758,46,41,60,0.0693
260650026002,116158,0.0795,57,20,118,0.0316
260650055021,211269,0.0553,69,104,150,0.1131
260650044031,185778,0.089,74,37,141,0.0579
260650050022,486282,0.0537,57,18,200,0.1805
260650050023,311081,0.0753,72,19,183,0.1707
260650055022,212951,0.0589,61,25,150,0.1314
260650029012,160766,0.0487,51,48,133,0.051
260650040005,302358,0.0959,67,16,180,0.0592
260650048012,206645,0.063,77,52,148,0.1471
260650046002,274988,0.078,55,37,171,0.1172
260650067004,198287,0.0812,75,40,146,0.0219
260650060011,245733,0.0488,93,23,161,0.3485
260650031033,178980,-0.05,180,16,139,0.047
260650001001,80885,0.0742,58,16,106,0.0317
260650048023,296105,0.0697,43,25,178,0.1854
260650021011,58228,0.0665,67,15,99,0.0284
260650060012,216319,0.0746,76,17,152,0.388
260650029021,98792,0.0532,59,36,112,0.0663
260650029023,-724580520,0.0869,68,83,60,0.0656
260650051003,103658,0.0588,69,14,114,0.0651
260650055011,283839,0.0747,69,31,174,0.1164
260650055012,241838,0.0574,58,43,160,0.0905
260650028001,99209,0.0645,47,14,113,0.0416
260650017032,271719,0.0761,66,52,170,0.048
260650017031,197933,0.0757,56,31,145,0.0358
260659803001,-633333332,-0.05,180,2,60,0.3207
260650051002,93906,0.0611,57,24,111,0.0764
260650051001,127669,0.0684,66,20,122,0.0595
260650034002,157811,0.1106,63,25,132,0.0388
260650035003,132973,0.0776,60,36,124,0.0419
260650010002,125305,-0.05,180,22,121,0.0411
260650006001,112087,0.0757,85,23,117,0.0055
260650017033,157732,0.0672,65,27,132,0.0524
260650066001,128836,0.071,51,14,122,0.0238
260650053034,94402,0.0952,68,14,111,0.0676
260650070005,124606,0.0883,52,34,121,0.0291
260650070004,150620,0.101,47,30,130,0.0331
260650049022,-717388955,0.0761,90,37,60,0.1022
260650070003,115735,0.0569,52,30,118,0.0186
260650070001,126971,0.0769,54,26,122,0.0249
260650070002,74101,0.0408,63,9,104,0.0217
260650056003,245912,0.0416,73,17,161,0.169
260650049023,348152,0.0515,78,14,196,0.116
260650035002,-704244608,0.0564,58,18,60,0.0412
260650028002,94731,0.0864,51,25,111,0.0446
260659802001,-633333332,-0.05,180,2,60,0.0198
260650004003,127245,0.0413,63,24,122,0.0171
260650021012,88957,0.0783,69,18,109,0.0219
260650029022,-695560199,0.0433,52,11,60,0.0679
